character,pinyin,bihua,n.male,n.female,name.gender,n.1930_1959,n.1960_1969,n.1970_1979,n.1980_1989,n.1990_1999,n.2000_2008,ppm.1930_1959,ppm.1960_1969,ppm.1970_1979,ppm.1980_1989,ppm.1990_1999,ppm.2000_2008,name.ppm,name.uniqueness,corpus.ppm,corpus.uniqueness,name.valence,name.warmth,name.competence
溢,yi4,13,43061,19650,0.373,4266,2712,4204,10338,16542,24615,13.290,13.229,20.115,49.942,98.464,273.500,78.090,4.102,18.457,4.711,2.8125,3.0,3.1
镒,yi4,15,3638,785,0.645,1174,179,219,528,932,1392,3.657,0.873,1.048,2.551,5.548,15.467,4.857,5.232,0.000,6.000,2.5625,2.3,3.1
毅,yi4,15,1246816,182588,0.745,105445,141392,229222,336230,320689,296426,328.489,689.717,1096.756,1624.300,1908.863,3293.622,1490.291,2.826,57.302,4.234,4.1250,3.8,4.1
熠,yi4,15,59743,31423,0.311,715,1164,4287,12687,26418,45869,2.227,5.678,20.512,61.290,157.250,509.656,126.102,3.896,3.409,5.356,4.0000,3.8,3.9
薏,yi4,16,371,4712,-0.854,160,199,342,563,1782,2037,0.498,0.971,1.636,2.720,10.607,22.633,6.511,5.124,0.000,6.000,3.1875,3.2,3.2
燚,yi4,16,39053,16643,0.402,204,1011,4142,9649,18980,21720,0.636,4.932,19.818,46.614,112.976,241.333,71.052,4.142,0.000,6.000,3.1875,3.2,3.4
翼,yi4,17,87649,23206,0.581,6434,5994,11522,25847,29961,31058,20.044,29.239,55.129,124.865,178.339,345.089,125.451,3.898,40.709,4.380,3.1250,3.4,3.2
懿,yi4,22,87580,126689,-0.183,10498,7060,13922,36263,55603,91016,32.704,34.439,66.612,175.184,330.970,1011.289,275.200,3.559,1.672,5.573,3.8750,3.7,3.7
因,yin1,6,1804,5679,-0.518,2335,1085,877,1030,1312,868,7.274,5.293,4.196,4.976,7.810,9.644,6.532,5.123,1924.781,2.715,2.7500,2.9,3.0
阴,yin1,6,618,761,-0.104,353,134,124,342,348,77,1.100,0.654,0.593,1.652,2.071,0.856,1.154,5.667,128.044,3.889,1.8125,2.2,2.5
茵,yin1,9,1360,144069,-0.981,5244,5266,9609,22507,54379,48402,16.336,25.688,45.976,108.729,323.685,537.800,176.369,3.751,11.512,4.903,3.3125,3.4,2.9
荫,yin1,9,15153,9474,0.231,13106,3090,2256,2735,2261,1176,40.829,15.073,10.794,13.213,13.458,13.067,17.739,4.727,17.943,4.723,3.1250,3.1,3.0
音,yin1,9,18535,115273,-0.723,34141,15204,14160,22586,19114,28493,106.358,74.166,67.751,109.111,113.774,316.589,131.292,3.878,596.811,3.223,3.5625,3.7,3.4
殷,yin1,10,7900,9587,-0.096,1118,1087,1768,4403,5151,3957,3.483,5.302,8.459,21.271,30.661,43.967,18.857,4.702,20.322,4.671,3.3750,3.5,3.1
堙,yin1,12,31,40,-0.127,5,2,3,15,22,24,0.016,0.010,0.014,0.072,0.131,0.267,0.085,5.965,0.000,6.000,2.5000,2.8,2.6
吟,yin2,7,4954,62720,-0.854,19519,10726,8350,10881,11978,6197,60.807,52.322,39.952,52.565,71.298,68.856,57.633,4.232,25.017,4.585,2.8125,2.9,2.8
垠,yin2,9,4380,2949,0.195,371,273,679,1979,2246,1780,1.156,1.332,3.249,9.560,13.369,19.778,8.074,5.042,3.023,5.395,2.5625,2.6,2.8
银,yin2,11,2431020,2674100,-0.048,1910057,1104125,860591,697502,402191,124569,5950.333,5385.976,4117.660,3369.575,2393.994,1384.100,3766.940,2.424,190.362,3.718,3.3125,2.9,3.0
寅,yin2,11,128849,30264,0.620,35256,15647,18370,50440,31297,8173,109.832,76.327,87.895,243.671,186.292,90.811,132.471,3.875,10.097,4.955,3.1875,3.3,3.8
尹,yin3,4,22739,36319,-0.230,3099,2092,3910,10764,18318,20896,9.654,10.205,18.708,52.000,109.036,232.178,71.964,4.137,11.576,4.900,3.3750,3.1,3.0
引,yin3,4,27284,204417,-0.764,108925,46591,29895,25781,16867,3333,339.330,227.273,143.038,124.546,100.399,37.033,161.937,3.788,485.552,3.313,2.9375,2.7,2.7
隐,yin3,11,1351,1504,-0.054,311,161,273,725,1054,349,0.969,0.785,1.306,3.502,6.274,3.878,2.786,5.422,90.615,4.038,2.7500,3.1,2.7
印,yin4,5,531481,59617,0.798,255555,127507,84564,64397,41579,17891,796.121,621.985,404.612,311.097,247.494,198.789,430.016,3.366,200.266,3.696,2.7500,2.8,2.9
胤,yin4,9,54604,8757,0.724,3081,2371,4819,12366,17103,23614,9.598,11.566,23.057,59.739,101.804,262.378,78.024,4.102,0.965,5.707,3.5625,3.5,3.7
英,ying1,8,2129955,38849711,-0.896,21309061,8568501,6588993,3019930,1137130,324416,66383.368,41797.566,31526.282,14589.034,6768.631,3604.622,27444.917,1.562,422.656,3.373,4.1250,3.6,3.4
莺,ying1,10,1864,83882,-0.957,17032,12870,21326,21672,9254,3569,53.059,62.780,102.038,104.696,55.083,39.656,69.552,4.151,12.219,4.879,3.7500,3.6,3.2
婴,ying1,11,1241,5795,-0.647,878,697,1280,2268,1396,513,2.735,3.400,6.124,10.957,8.310,5.700,6.204,5.142,32.670,4.473,2.7500,3.3,2.7
瑛,ying1,12,36631,309551,-0.788,76120,62877,74434,66389,43141,23096,237.134,306.717,356.144,320.720,256.792,256.622,289.022,3.538,8.103,5.041,3.7500,3.8,3.2
缨,ying1,14,1310,9687,-0.762,956,3927,3624,843,712,927,2.978,19.156,17.340,4.072,4.238,10.300,9.681,4.971,3.537,5.343,3.4375,3.3,3.3
璎,ying1,15,315,4767,-0.876,181,248,528,849,1353,1925,0.564,1.210,2.526,4.101,8.054,21.389,6.307,5.136,1.029,5.693,3.5000,3.7,3.1
樱,ying1,15,1715,55726,-0.940,2622,3229,6529,15577,16219,13268,8.168,15.751,31.239,75.251,96.542,147.422,62.396,4.198,10.290,4.947,3.6875,3.9,3.1
鹦,ying1,16,139,718,-0.676,53,113,199,278,145,65,0.165,0.551,0.952,1.343,0.863,0.722,0.766,5.753,4.695,5.245,2.8125,3.3,2.2
膺,ying1,17,360,190,0.309,110,126,138,93,55,28,0.343,0.615,0.660,0.449,0.327,0.311,0.451,5.838,2.958,5.402,2.8750,2.8,3.1
鹰,ying1,18,38031,34398,0.050,6475,15310,25391,14962,7240,2537,20.171,74.683,121.488,72.280,43.095,28.189,59.984,4.215,31.641,4.486,3.4375,2.9,3.3
迎,ying2,7,311977,482318,-0.214,100451,118299,195213,197887,136381,45609,312.931,577.068,934.033,955.976,811.792,506.767,683.095,3.165,131.453,3.878,3.3750,3.4,3.3
荧,ying2,9,3102,26508,-0.790,622,451,834,4618,11582,11596,1.938,2.200,3.990,22.309,68.940,128.844,38.037,4.409,17.300,4.738,3.3125,3.5,3.1
盈,ying2,9,64484,288713,-0.635,30612,18505,24991,71738,89450,117895,95.364,90.268,119.574,346.560,532.440,1309.944,415.692,3.380,40.130,4.386,4.0625,3.9,3.5
莹,ying2,10,74008,1925270,-0.926,37986,46755,135965,531638,783567,463683,118.336,228.073,650.550,2568.300,4664.089,5152.033,2230.230,2.651,13.891,4.827,4.0000,3.5,3.1
萤,ying2,11,432,5327,-0.850,198,207,357,1484,1943,1564,0.617,1.010,1.708,7.169,11.565,17.378,6.575,5.121,6.946,5.100,2.8125,3.1,2.9
营,ying2,11,377872,123995,0.506,100037,97470,108008,119704,62465,14067,311.642,475.463,516.785,578.280,371.815,156.300,401.714,3.395,416.932,3.379,2.7500,2.9,2.9
萦,ying2,11,107,2599,-0.921,41,51,157,536,1007,915,0.128,0.249,0.751,2.589,5.994,10.167,3.313,5.365,3.601,5.337,3.3125,3.4,3.2
蓥,ying2,13,1461,6359,-0.626,36,51,252,882,2559,4042,0.112,0.249,1.206,4.261,15.232,44.911,10.995,4.921,0.000,6.000,2.9375,3.0,2.9
楹,ying2,13,1758,4263,-0.416,494,162,392,1033,1540,2391,1.539,0.790,1.876,4.990,9.167,26.567,7.488,5.071,0.707,5.768,3.0625,3.1,2.8
滢,ying2,13,6139,129220,-0.909,783,1247,6680,18368,42685,65558,2.439,6.083,31.962,88.734,254.077,728.422,185.286,3.730,0.514,5.820,3.2500,3.5,3.0
潆,ying2,14,251,4575,-0.896,22,34,158,632,1245,2738,0.069,0.166,0.756,3.053,7.411,30.422,6.980,5.098,0.000,6.000,3.1875,2.8,3.1
嬴,ying2,16,558,793,-0.174,23,31,106,380,490,321,0.072,0.151,0.507,1.836,2.917,3.567,1.508,5.601,0.322,5.879,3.0000,2.9,3.0
赢,ying2,17,21897,15270,0.178,911,1089,2787,9396,12183,10772,2.838,5.312,13.335,45.391,72.518,119.689,43.181,4.355,19.808,4.682,3.5625,3.4,3.4
瀛,ying2,19,11161,9305,0.091,2721,1046,2241,4915,4916,4647,8.477,5.102,10.722,23.744,29.262,51.633,21.490,4.648,1.672,5.573,3.0000,3.4,3.0
颍,ying3,12,3831,23338,-0.718,1197,3760,6556,5888,5034,4766,3.729,18.341,31.368,28.444,29.964,52.956,27.467,4.546,0.322,5.879,3.3125,3.6,3.6
颖,ying3,13,280659,1996886,-0.754,67965,113959,322038,529034,707035,537519,211.729,555.898,1540.852,2555.720,4208.542,5972.433,2507.529,2.601,19.872,4.680,4.0625,4.0,3.8
影,ying3,15,46552,749475,-0.883,53614,103736,197425,247139,151633,42708,167.022,506.029,944.617,1193.908,902.577,474.533,698.114,3.155,638.550,3.194,3.2500,3.3,3.0
应,ying4,7,1298681,697126,0.301,773042,415341,377549,236153,145200,50630,2408.231,2026.054,1806.455,1140.836,864.286,562.556,1468.070,2.833,1483.861,2.828,3.0625,3.3,2.9
映,ying4,9,181225,356295,-0.326,145577,90742,104077,90881,75708,30328,453.511,442.644,497.976,439.039,450.643,336.978,436.799,3.359,241.297,3.616,3.0000,3.3,2.9
拥,yong1,8,113821,17465,0.734,6285,45339,62802,11552,3711,759,19.579,221.166,300.488,55.807,22.089,8.433,104.594,3.976,86.435,4.058,3.0625,3.2,2.8
庸,yong1,11,6905,900,0.769,3357,744,692,859,1270,883,10.458,3.629,3.311,4.150,7.560,9.811,6.487,5.126,26.239,4.565,2.3750,3.0,2.8
雍,yong1,13,22895,5113,0.635,4194,2130,3062,6295,6975,5323,13.065,10.390,14.651,30.411,41.518,59.144,28.197,4.535,6.238,5.140,3.4375,3.3,3.5
墉,yong1,14,1669,103,0.884,470,68,94,176,397,567,1.464,0.332,0.450,0.850,2.363,6.300,1.960,5.529,0.000,6.000,2.6250,3.1,2.9
镛,yong1,16,4054,361,0.836,2405,334,345,352,598,399,7.492,1.629,1.651,1.700,3.560,4.433,3.411,5.355,0.000,6.000,2.8750,2.9,3.3
永,yong3,5,12090324,4297884,0.475,4844805,3329479,3771343,2521969,1380226,537420,15092.850,16241.361,18044.703,12183.425,8215.631,5971.333,12624.884,1.899,155.441,3.806,3.9375,3.9,3.6
甬,yong3,7,777,106,0.760,89,121,177,193,164,139,0.277,0.590,0.847,0.932,0.976,1.544,0.861,5.730,2.187,5.497,3.1250,3.3,3.1
咏,yong3,8,54875,181637,-0.536,25507,35826,65065,31794,38226,39507,79.461,174.761,311.316,153.594,227.536,438.967,230.939,3.635,8.232,5.035,3.4375,3.3,2.9
泳,yong3,8,133155,107851,0.105,20039,13965,28469,43508,75343,59851,62.427,68.122,136.215,210.184,448.470,665.011,265.072,3.575,23.409,4.612,3.1250,3.1,2.8
勇,yong3,9,6630578,235729,0.931,453631,1044000,2304076,1840855,947806,274838,1413.181,5092.683,11024.287,8893.019,5641.702,3053.756,5853.105,2.233,127.337,3.892,4.1875,3.6,3.8
涌,yong3,10,46847,2746,0.889,4569,5533,11220,10367,10568,7299,14.234,26.990,53.684,50.082,62.905,81.100,48.166,4.308,52.157,4.274,3.0625,3.3,3.0
用,yong4,5,93596,26775,0.555,48034,26037,22365,14107,7737,2221,149.639,127.010,107.010,68.150,46.054,24.678,87.090,4.055,3399.896,2.468,2.6875,2.7,2.6
游,you,12,49973,13476,0.575,4780,4712,6121,18962,20030,8857,14.891,22.985,29.287,91.604,119.226,98.411,62.734,4.196,272.295,3.563,3.1875,3.3,3.2
优,you1,6,71369,90616,-0.119,27804,19920,23537,32717,34153,23927,86.617,97.171,112.617,158.053,203.292,265.856,153.934,3.810,292.039,3.533,4.0625,3.3,3.7
攸,you1,7,1229,1322,-0.036,372,140,188,375,612,866,1.159,0.683,0.900,1.812,3.643,9.622,2.970,5.401,1.222,5.653,3.3750,3.2,3.3
幽,you1,9,489,3640,-0.763,353,268,478,780,1193,1058,1.100,1.307,2.287,3.768,7.101,11.756,4.553,5.255,45.597,4.332,3.0625,3.1,2.6
悠,you1,11,6278,18761,-0.499,621,356,731,3825,8554,10950,1.935,1.737,3.498,18.478,50.917,121.667,33.039,4.468,43.732,4.349,3.8125,3.7,3.0
尤,you2,4,27254,13309,0.344,14263,6794,5915,5589,5198,2801,44.433,33.141,28.301,27.000,30.940,31.122,32.490,4.475,128.302,3.888,3.2500,3.2,2.9
由,you2,5,21177,5745,0.573,8294,4089,3930,4472,4074,2064,25.838,19.946,18.804,21.604,24.250,22.933,22.229,4.634,1602.580,2.795,3.0625,3.3,3.1
邮,you2,7,302,126,0.411,31,27,45,109,176,40,0.097,0.132,0.215,0.527,1.048,0.444,0.411,5.850,46.047,4.327,2.6250,2.6,2.7
油,you2,8,1795,796,0.386,1053,351,357,356,370,104,3.280,1.712,1.708,1.720,2.202,1.156,1.963,5.528,278.405,3.554,2.2500,2.7,2.2
铀,you2,10,929,332,0.473,210,235,212,304,196,104,0.654,1.146,1.014,1.469,1.167,1.156,1.101,5.678,14.856,4.800,2.1875,2.4,2.7
猷,you2,13,2762,231,0.846,1078,173,221,549,624,392,3.358,0.844,1.057,2.652,3.714,4.356,2.664,5.436,1.351,5.629,3.0000,3.1,3.5
友,you3,4,4988374,1316508,0.582,2758945,1506582,1111919,539334,283604,100213,8594.844,7349.180,5320.187,2605.478,1688.119,1113.478,4445.214,2.352,273.774,3.561,3.7500,4.3,3.2
有,you3,6,3206397,841086,0.584,1878805,913129,646371,346041,189333,74895,5852.975,4454.288,3092.684,1671.696,1126.982,832.167,2838.465,2.547,9082.145,2.042,3.1250,3.4,2.6
酉,you3,7,5915,1602,0.574,1848,466,414,1719,1415,1651,5.757,2.273,1.981,8.304,8.423,18.344,7.514,5.070,2.765,5.424,3.1875,2.9,3.1
铕,you3,11,225,40,0.698,5,17,24,58,90,71,0.016,0.083,0.115,0.280,0.536,0.789,0.303,5.885,0.000,6.000,2.7500,2.1,2.9
又,you4,2,59014,61522,-0.021,45825,29020,19534,10315,9068,6745,142.757,141.561,93.464,49.831,53.976,74.944,92.756,4.028,1807.927,2.743,2.8750,2.7,2.6
右,you4,5,10785,3265,0.535,5382,2504,2125,1707,1531,769,16.766,12.215,10.167,8.246,9.113,8.544,10.842,4.927,257.246,3.588,2.8750,2.7,2.6
幼,you4,5,43052,190756,-0.632,91023,55655,45202,27348,11895,3163,283.561,271.488,216.278,132.116,70.804,35.144,168.232,3.772,129.652,3.884,2.8750,2.8,2.6
佑,you4,7,329502,121516,0.461,206864,83074,60836,37846,31777,30989,644.436,405.239,291.081,182.831,189.149,344.322,342.843,3.464,8.682,5.014,3.6875,3.5,3.4
囿,you4,9,592,154,0.587,20,25,43,145,256,256,0.062,0.122,0.206,0.700,1.524,2.844,0.910,5.719,3.344,5.362,2.8125,3.0,2.9
宥,you4,9,2087,749,0.472,163,97,155,443,823,1160,0.508,0.473,0.742,2.140,4.899,12.889,3.609,5.336,0.000,6.000,3.3125,3.5,3.3
迂,yu1,6,214,106,0.338,72,22,24,76,112,14,0.224,0.107,0.115,0.367,0.667,0.156,0.273,5.895,6.495,5.125,2.3125,2.7,2.7
于,yu2,3,157593,81866,0.316,72486,44760,37171,31027,30390,23588,225.813,218.341,177.852,149.889,180.893,262.089,202.480,3.691,3433.402,2.464,2.9375,3.1,2.7
玙,yu2,7,1791,7349,-0.608,125,28,115,1003,2873,4987,0.389,0.137,0.550,4.845,17.101,55.411,13.072,4.852,0.322,5.879,3.1250,3.2,2.9
余,yu2,7,647652,164557,0.595,340536,155969,118050,90452,69726,36912,1060.860,760.824,564.833,436.966,415.036,410.133,608.109,3.215,273.967,3.561,3.1875,3.4,3.1
妤,yu2,7,208,76959,-0.995,701,1084,3723,11093,21607,38957,2.184,5.288,17.813,53.589,128.613,432.856,106.724,3.968,0.000,6.000,3.5000,3.7,3.0
鱼,yu2,8,25124,65225,-0.444,41133,19825,13234,7990,5214,3117,128.140,96.707,63.321,38.599,31.036,34.633,65.406,4.178,289.338,3.537,2.8750,2.6,2.2
禺,yu2,9,1311,507,0.442,40,55,134,316,668,605,0.125,0.268,0.641,1.527,3.976,6.722,2.210,5.493,1.865,5.543,3.3125,3.3,3.0
俞,yu2,9,28143,30956,-0.048,2248,2465,4443,12846,18469,18561,7.003,12.024,21.258,62.058,109.935,206.233,69.752,4.150,10.869,4.926,3.3125,3.4,3.3
娱,yu2,10,1085,6774,-0.724,580,531,914,1888,2204,1730,1.807,2.590,4.373,9.121,13.119,19.222,8.372,5.028,21.287,4.652,2.6875,2.5,2.5
渔,yu2,11,3680,2028,0.289,926,400,617,922,1221,1627,2.885,1.951,2.952,4.454,7.268,18.078,6.265,5.139,54.601,4.255,2.6250,2.6,2.3
隅,yu2,11,168,67,0.430,17,15,15,42,76,66,0.053,0.073,0.072,0.203,0.452,0.733,0.264,5.898,4.116,5.291,2.8125,2.9,3.1
逾,yu2,12,1248,792,0.224,29,88,200,419,626,680,0.090,0.429,0.957,2.024,3.726,7.556,2.464,5.460,8.296,5.032,2.8750,2.9,3.1
渝,yu2,12,78451,68397,0.068,16818,12229,16737,21157,32271,47583,52.393,59.654,80.081,102.208,192.089,528.700,169.188,3.769,3.987,5.302,3.2500,3.3,2.8
愉,yu2,12,19817,39792,-0.335,2670,2385,4332,12389,17536,20305,8.318,11.634,20.727,59.850,104.381,225.611,71.754,4.138,33.506,4.462,3.8125,3.5,2.9
瑜,yu2,13,260128,599936,-0.395,62761,51477,92075,217258,229694,206903,195.517,251.107,440.550,1049.556,1367.226,2298.922,933.813,3.029,3.151,5.382,4.2500,4.0,3.8
榆,yu2,13,29183,29356,-0.003,3722,2430,3448,7649,17159,24190,11.595,11.854,16.498,36.952,102.137,268.778,74.636,4.121,10.933,4.923,3.5000,3.4,3.3
虞,yu2,13,2595,1868,0.163,899,226,323,695,1076,1243,2.801,1.102,1.545,3.357,6.405,13.811,4.837,5.234,6.238,5.140,3.1250,3.3,3.1
愚,yu2,13,13862,3161,0.629,2391,1219,1535,2835,5700,3329,7.449,5.946,7.344,13.696,33.929,36.989,17.559,4.731,24.760,4.589,1.8125,2.4,2.3
与,yu3,3,8835,4832,0.293,2974,1174,1133,1106,2303,4974,9.265,5.727,5.421,5.343,13.708,55.267,15.789,4.775,1626.697,2.788,2.8125,3.0,3.0
予,yu3,4,38195,61782,-0.236,6866,6141,6730,11710,24564,43968,21.389,29.956,32.201,56.570,146.214,488.533,129.144,3.886,118.012,3.924,3.2500,3.3,3.0
屿,yu3,6,4310,3411,0.116,179,147,357,1021,2556,3460,0.558,0.717,1.708,4.932,15.214,38.444,10.262,4.948,10.033,4.957,3.1875,3.2,2.9
宇,yu3,6,4981612,1649683,0.502,195778,214850,514970,972692,2127540,2605341,609.900,1048.049,2463.971,4698.995,12663.929,28948.233,8405.513,2.075,94.281,4.021,3.7500,3.7,3.6
羽,yu3,6,221616,347213,-0.221,24750,21513,37433,94704,157123,232644,77.103,104.941,179.105,457.507,935.256,2584.933,723.141,3.140,36.851,4.422,3.6875,3.8,3.0
雨,yu3,8,1478440,2570260,-0.270,274499,178861,241076,428516,1181778,1743215,855.137,872.493,1153.474,2070.126,7034.393,19369.056,5225.780,2.282,230.428,3.636,3.3750,3.7,2.7
俣,yu3,9,5812,4161,0.166,16,25,108,968,3172,5689,0.050,0.122,0.517,4.676,18.881,63.211,14.576,4.808,0.000,6.000,2.8750,2.9,2.6
禹,yu3,9,319274,89222,0.563,53865,25068,32962,55701,112173,128708,167.804,122.283,157.713,269.087,667.696,1430.089,469.112,3.328,10.290,4.947,3.7500,3.7,3.4
语,yu3,9,51841,197847,-0.585,10202,7202,6790,12824,40856,171854,31.782,35.132,32.488,61.952,243.190,1909.489,385.672,3.413,762.542,3.117,3.4375,3.5,3.3
玉,yu4,5,9692197,24546985,-0.434,14771006,7306823,5336682,3390050,2401788,1016523,46015.595,35643.039,25534.364,16377.053,14296.357,11294.700,24860.185,1.604,173.062,3.759,4.3750,4.2,3.4
芋,yu4,6,2279,4515,-0.329,453,213,468,1133,2338,2194,1.411,1.039,2.239,5.473,13.917,24.378,8.076,5.042,4.952,5.225,2.8125,3.2,3.0
聿,yu4,6,8288,2914,0.480,2800,1086,1001,1291,2225,2810,8.723,5.298,4.789,6.237,13.244,31.222,11.586,4.900,0.707,5.768,3.5625,3.5,3.7
郁,yu4,8,45412,49399,-0.042,26889,12806,16531,14470,13626,10509,83.766,62.468,79.096,69.903,81.107,116.767,82.185,4.080,42.832,4.358,2.5625,2.9,3.1
育,yu4,8,573570,302707,0.309,227031,155315,184812,141636,109784,57717,707.262,757.634,884.268,684.232,653.476,641.300,721.362,3.141,735.853,3.133,3.3750,3.5,3.5
昱,yu4,9,180376,116678,0.214,3965,7155,19449,38365,93022,135056,12.352,34.902,93.057,185.338,553.702,1500.622,396.662,3.400,0.000,6.000,3.7500,3.8,3.9
彧,yu4,10,16955,14523,0.077,707,1214,3478,6839,8100,11171,2.202,5.922,16.641,33.039,48.214,124.122,38.357,4.405,0.965,5.707,3.6875,3.2,3.3
钰,yu4,10,313416,687426,-0.374,43111,25485,45450,118935,341908,425762,134.302,124.317,217.464,574.565,2035.167,4730.689,1302.751,2.885,1.029,5.693,3.8125,3.7,3.3
浴,yu4,10,1437,890,0.235,247,149,297,469,604,565,0.769,0.727,1.421,2.266,3.595,6.278,2.509,5.455,20.194,4.674,2.4375,2.6,2.6
预,yu4,10,675,425,0.227,102,77,102,193,315,311,0.318,0.376,0.488,0.932,1.875,3.456,1.241,5.650,221.103,3.653,2.7500,3.2,2.9
域,yu4,11,5596,1432,0.592,1005,415,592,880,1695,2448,3.131,2.024,2.833,4.251,10.089,27.200,8.255,5.034,187.404,3.725,3.0625,3.2,2.5
欲,yu4,11,2856,1863,0.210,412,960,1452,782,644,465,1.283,4.683,6.947,3.778,3.833,5.167,4.282,5.277,106.886,3.967,2.5000,2.8,2.6
淯,yu4,11,553,463,0.089,18,14,59,179,276,470,0.056,0.068,0.282,0.865,1.643,5.222,1.356,5.628,0.000,6.000,3.0625,3.0,2.8
谕,yu4,11,8112,8116,0.000,236,187,628,2041,5169,7970,0.735,0.912,3.005,9.860,30.768,88.556,22.306,4.633,6.624,5.118,3.0000,3.1,3.1
遇,yu4,12,4568,3027,0.203,1569,614,810,1385,2032,1267,4.888,2.995,3.876,6.691,12.095,14.078,7.437,5.074,155.120,3.807,3.1250,3.0,2.8
喻,yu4,12,12427,20145,-0.237,1308,1509,2715,8003,9922,9098,4.075,7.361,12.990,38.662,59.060,101.089,37.206,4.418,24.567,4.592,3.3750,3.3,3.0
御,yu4,12,4731,4862,-0.014,3232,865,585,841,1415,2576,10.069,4.220,2.799,4.063,8.423,28.622,9.699,4.971,33.828,4.458,3.6250,3.7,3.2
寓,yu4,12,1906,1229,0.216,67,76,167,464,992,1362,0.209,0.371,0.799,2.242,5.905,15.133,4.110,5.292,20.580,4.666,3.3125,3.4,3.4
裕,yu4,12,627649,181393,0.552,261494,121990,105920,108862,128056,83074,814.623,595.073,506.794,525.903,762.238,923.044,687.946,3.162,33.635,4.460,4.0000,3.8,3.4
愈,yu4,13,5110,2256,0.387,1736,877,1054,1423,1376,904,5.408,4.278,5.043,6.874,8.190,10.044,6.640,5.117,83.541,4.073,3.0625,3.0,2.9
煜,yu4,13,363160,133127,0.464,37462,21490,38784,61816,151057,185583,116.704,104.829,185.569,298.628,899.149,2062.033,611.152,3.213,1.286,5.641,4.0000,3.5,3.6
誉,yu4,13,55257,28346,0.322,5134,3933,5260,12124,21944,35238,15.994,19.185,25.167,58.570,130.619,391.533,106.845,3.967,47.976,4.310,3.9375,3.7,3.6
毓,yu4,14,129501,127283,0.009,76180,27572,29494,30198,46334,47079,237.321,134.498,141.120,145.884,275.798,523.100,242.954,3.613,2.508,5.455,3.5625,3.8,3.6
豫,yu4,15,38642,28227,0.156,4221,5013,6763,9567,18195,23081,13.150,24.454,32.359,46.217,108.304,256.456,80.157,4.091,31.320,4.491,2.8125,3.1,2.8
鸢,yuan1,8,304,270,0.059,66,49,69,120,172,97,0.206,0.239,0.330,0.580,1.024,1.078,0.576,5.802,0.643,5.784,3.3125,3.4,3.0
鸳,yuan1,10,453,10671,-0.919,2325,1315,1388,3639,2180,279,7.243,6.415,6.641,17.580,12.976,3.100,8.993,5.000,3.151,5.382,3.0000,3.3,2.6
渊,yuan1,11,197147,34958,0.699,36278,19245,28915,57122,55111,35510,113.016,93.878,138.349,275.952,328.042,394.556,223.966,3.648,21.094,4.656,3.5000,3.2,3.8
元,yuan2,4,5422759,2014584,0.458,3444428,1452230,1052380,737903,506720,240031,10730.305,7084.049,5035.311,3564.749,3016.190,2667.011,5349.603,2.272,487.546,3.311,3.8125,3.6,3.0
园,yuan2,7,184217,671795,-0.570,50900,46008,68841,320457,297107,72820,158.567,224.429,329.383,1548.101,1768.494,809.111,806.348,3.093,155.441,3.806,3.5000,3.4,2.9
员,yuan2,7,22014,19526,0.060,14726,7344,7828,6604,3795,1249,45.875,35.824,37.455,31.903,22.589,13.878,31.254,4.491,958.307,3.018,2.7500,2.9,2.7
沅,yuan2,7,38932,14956,0.445,10787,4963,5200,8019,10571,14335,33.604,24.210,24.880,38.739,62.923,159.278,57.272,4.235,2.122,5.506,2.9375,2.7,2.8
垣,yuan2,9,15224,1614,0.808,6825,2257,1664,1815,1910,2367,21.262,11.010,7.962,8.768,11.369,26.300,14.445,4.811,4.952,5.225,2.6250,3.1,3.2
袁,yuan2,10,24787,26533,-0.034,9172,1740,2778,9904,15859,11925,28.573,8.488,13.292,47.845,94.399,132.500,54.183,4.258,51.899,4.277,3.1875,2.9,2.9
原,yuan2,10,197724,54938,0.565,33825,27598,32911,53311,62795,42087,105.374,134.624,157.469,257.541,373.780,467.633,249.404,3.601,1307.776,2.883,3.1875,3.4,2.9
圆,yuan2,10,87444,319794,-0.571,10696,9099,15995,111673,166839,92925,33.321,44.385,76.531,539.483,993.089,1032.500,453.218,3.343,188.369,3.723,3.1875,3.6,2.6
援,yuan2,12,12243,3693,0.537,8141,2697,2049,1422,1059,513,25.361,13.156,9.804,6.870,6.304,5.700,11.199,4.914,62.961,4.194,2.8750,3.4,3.1
媛,yuan2,12,4299,1603373,-0.995,193719,98238,147084,442758,465258,260442,603.486,479.210,703.751,2138.928,2769.393,2893.800,1598.095,2.796,3.794,5.319,4.0000,3.8,2.9
缘,yuan2,12,35024,64902,-0.299,4272,2224,3180,9492,34013,46639,13.308,10.849,15.215,45.855,202.458,518.211,134.316,3.869,97.303,4.007,3.6875,3.9,3.1
塬,yuan2,13,2521,1087,0.397,21,43,99,446,1082,1917,0.065,0.210,0.474,2.155,6.440,21.300,5.107,5.214,0.643,5.784,2.9375,2.9,2.9
源,yuan2,13,1195887,240750,0.665,224965,106607,123012,233957,365635,382301,700.826,520.034,588.574,1130.227,2176.399,4247.789,1560.642,2.806,401.111,3.396,3.8750,3.5,2.9
辕,yuan2,14,1488,268,0.695,133,57,115,340,491,619,0.414,0.278,0.550,1.643,2.923,6.878,2.114,5.507,2.251,5.488,3.1250,3.1,3.1
