surname,compound,initial,initial.rank,n.1930_2008,ppm.1930_2008,surname.uniqueness
楠,0,n,14,1251,1.059,5.686
磊,0,l,12,1231,1.042,5.690
鲜于,1,x,24,1218,1.031,5.692
冰,0,b,2,1213,1.026,5.693
莉,0,l,12,1175,0.994,5.700
圆,0,y,25,1145,0.969,5.706
公玉,1,g,7,1140,0.965,5.707
南荣,1,n,14,1065,0.901,5.721
赫连,1,h,8,1042,0.882,5.725
笑,0,x,24,1034,0.875,5.727
东方,1,d,4,942,0.797,5.745
莹,0,y,25,814,0.689,5.772
鑫,0,x,24,788,0.667,5.778
涛,0,t,20,787,0.666,5.778
彬,0,b,2,777,0.658,5.781
曙,0,s,19,741,0.627,5.789
仲长,1,z,26,740,0.626,5.789
丫,0,y,25,737,0.624,5.790
心,0,x,24,697,0.590,5.799
甜,0,t,20,641,0.542,5.812
姣,0,j,10,602,0.509,5.821
妞,0,n,14,528,0.447,5.840
葡,0,p,16,518,0.438,5.842
慕容,1,m,13,423,0.358,5.867
僧,0,s,19,377,0.319,5.880
珊,0,s,19,377,0.319,5.880
库,0,k,11,376,0.318,5.880
福,0,f,6,374,0.316,5.881
广,0,g,7,371,0.314,5.881
仁,0,r,18,370,0.313,5.882
宗政,1,z,26,366,0.310,5.883
俸,0,f,6,365,0.309,5.883
波,0,b,2,357,0.302,5.885
慈,0,c,3,354,0.300,5.886
希,0,x,24,351,0.297,5.887
敦,0,d,4,348,0.294,5.888
折,0,z,26,345,0.292,5.889
绳,0,s,19,343,0.290,5.889
贵,0,g,7,342,0.289,5.890
蒿,0,h,8,341,0.289,5.890
睢,0,s,19,339,0.287,5.890
端,0,d,4,338,0.286,5.891
颉,0,x,24,337,0.285,5.891
归,0,g,7,327,0.277,5.894
爱,0,a,1,326,0.276,5.894
桓,0,h,8,326,0.276,5.894
如,0,r,18,326,0.276,5.894
皋,0,g,7,322,0.272,5.895
仰,0,y,25,315,0.267,5.897
禄,0,l,12,308,0.261,5.899
肇,0,z,26,308,0.261,5.899
聪,0,c,3,306,0.259,5.900
甲,0,j,10,306,0.259,5.900
补,0,b,2,304,0.257,5.901
濮阳,1,p,16,304,0.257,5.901
淡,0,d,4,298,0.252,5.902
乾,0,q,17,294,0.249,5.904
敏,0,m,13,292,0.247,5.904
清,0,q,17,290,0.245,5.905
奇,0,q,17,289,0.245,5.905
恽,0,y,25,289,0.245,5.905
沐,0,m,13,285,0.241,5.906
媛,0,y,25,284,0.240,5.906
旦,0,d,4,283,0.239,5.907
弭,0,m,13,279,0.236,5.908
军,0,j,10,272,0.230,5.910
里,0,l,12,268,0.227,5.911
锁,0,s,19,267,0.226,5.912
稳,0,w,23,267,0.226,5.912
萍,0,p,16,263,0.223,5.913
底,0,d,4,261,0.221,5.913
宓,0,m,13,260,0.220,5.914
寸,0,c,3,258,0.218,5.914
卯,0,m,13,257,0.217,5.915
桃,0,t,20,257,0.217,5.915
淳,0,c,3,256,0.217,5.915
留,0,l,12,256,0.217,5.915
问,0,w,23,253,0.214,5.916
起,0,q,17,251,0.212,5.916
灿,0,c,3,249,0.211,5.917
沃,0,w,23,249,0.211,5.917
盈,0,y,25,249,0.211,5.917
旺,0,w,23,248,0.210,5.917
笪,0,d,4,247,0.209,5.918
神,0,s,19,246,0.208,5.918
坤,0,k,11,245,0.207,5.918
仓,0,c,3,243,0.206,5.919
兴,0,x,24,239,0.202,5.920
令,0,l,12,232,0.196,5.922
矣,0,y,25,226,0.191,5.924
朗,0,l,12,224,0.190,5.925
伯,0,b,2,222,0.188,5.925
珠,0,z,26,221,0.187,5.926
俎,0,z,26,221,0.187,5.926
及,0,j,10,216,0.183,5.927
夏侯,1,x,24,214,0.181,5.928
甯,0,n,14,210,0.178,5.929
运,0,y,25,210,0.178,5.929
稽,0,j,10,208,0.176,5.930
恒,0,h,8,203,0.172,5.931
弯,0,w,23,203,0.172,5.931
杰,0,j,10,202,0.171,5.931
杞,0,q,17,200,0.169,5.932
额,0,e,5,196,0.166,5.933
吝,0,l,12,195,0.165,5.934
啊,0,a,1,192,0.162,5.935
地,0,d,4,192,0.162,5.935
宏,0,h,8,188,0.159,5.936
力,0,l,12,188,0.159,5.936
职,0,z,26,188,0.159,5.936
风,0,f,6,187,0.158,5.936
建,0,j,10,186,0.157,5.937
帖,0,t,20,185,0.157,5.937
贞,0,z,26,185,0.157,5.937
刑,0,x,24,183,0.155,5.937
超,0,c,3,180,0.152,5.938
堵,0,d,4,180,0.152,5.938
看,0,k,11,180,0.152,5.938
校,0,x,24,180,0.152,5.938
中,0,z,26,179,0.151,5.939
四,0,s,19,178,0.151,5.939
钞,0,c,3,177,0.150,5.939
棒,0,b,2,176,0.149,5.940
措,0,c,3,176,0.149,5.940
娃,0,w,23,175,0.148,5.940
斌,0,b,2,169,0.143,5.942
弥,0,m,13,166,0.140,5.943
深,0,s,19,166,0.140,5.943
奥,0,a,1,161,0.136,5.945
唱,0,c,3,160,0.135,5.945
锡,0,x,24,160,0.135,5.945
锐,0,r,18,159,0.135,5.945
妥,0,t,20,158,0.134,5.946
彦,0,y,25,156,0.132,5.946
琳,0,l,12,155,0.131,5.946
芙,0,f,6,153,0.129,5.947
淦,0,g,7,153,0.129,5.947
杲,0,g,7,152,0.129,5.947
姗,0,s,19,152,0.129,5.947
袭,0,x,24,152,0.129,5.947
焉,0,y,25,152,0.129,5.947
振,0,z,26,151,0.128,5.948
冲,0,c,3,150,0.127,5.948
呙,0,g,7,150,0.127,5.948
将,0,j,10,148,0.125,5.949
段干,1,d,4,147,0.124,5.949
十,0,s,19,146,0.124,5.949
胖,0,p,16,145,0.123,5.950
虢,0,g,7,142,0.120,5.951
闻人,1,w,23,142,0.120,5.951
贤,0,x,24,141,0.119,5.951
斗,0,d,4,140,0.118,5.951
萌,0,m,13,137,0.116,5.952
树,0,s,19,137,0.116,5.952
家,0,j,10,136,0.115,5.953
飘,0,p,16,136,0.115,5.953
森,0,s,19,135,0.114,5.953
雯,0,w,23,134,0.113,5.953
蓉,0,r,18,133,0.113,5.954
翔,0,x,24,132,0.112,5.954
克,0,k,11,130,0.110,5.955
非,0,f,6,129,0.109,5.955
接,0,j,10,129,0.109,5.955
胜,0,s,19,129,0.109,5.955
首,0,s,19,129,0.109,5.955
汉,0,h,8,128,0.108,5.955
镇,0,z,26,128,0.108,5.955
陕,0,s,19,127,0.107,5.956
者,0,z,26,127,0.107,5.956
贯,0,g,7,126,0.107,5.956
快,0,k,11,126,0.107,5.956
响,0,x,24,124,0.105,5.957
八,0,b,2,123,0.104,5.957
睛,0,j,10,122,0.103,5.957
蕊,0,r,18,122,0.103,5.957
好,0,h,8,121,0.102,5.958
主,0,z,26,121,0.102,5.958
茶,0,c,3,120,0.102,5.958
然,0,r,18,119,0.101,5.958
慎,0,s,19,119,0.101,5.958
璐,0,l,12,117,0.099,5.959
墨,0,m,13,117,0.099,5.959
薜,0,b,2,116,0.098,5.959
征,0,z,26,115,0.097,5.960
奔,0,b,2,112,0.095,5.961
北,0,b,2,111,0.094,5.961
启,0,q,17,111,0.094,5.961
菲,0,f,6,110,0.093,5.961
羿,0,y,25,110,0.093,5.961
佐,0,z,26,110,0.093,5.961
喇,0,l,12,107,0.091,5.962
须,0,x,24,107,0.091,5.962
蛋,0,d,4,105,0.089,5.963
院,0,y,25,105,0.089,5.963
栋,0,d,4,103,0.087,5.964
完,0,w,23,103,0.087,5.964
衷,0,z,26,103,0.087,5.964
列,0,l,12,102,0.086,5.964
微,0,w,23,101,0.085,5.964
卡,0,k,11,100,0.085,5.965
出,0,c,3,99,0.084,5.965
君,0,j,10,98,0.083,5.965
三,0,s,19,97,0.082,5.966
部,0,b,2,96,0.081,5.966
肉,0,r,18,96,0.081,5.966
让,0,r,18,94,0.080,5.967
狗,0,g,7,91,0.077,5.968
瑶,0,y,25,91,0.077,5.968
宽,0,k,11,90,0.076,5.968
比,0,b,2,89,0.075,5.968
乜,0,m,13,88,0.074,5.969
潭,0,t,20,88,0.074,5.969
陀,0,t,20,88,0.074,5.969
揣,0,c,3,87,0.074,5.969
忽,0,h,8,87,0.074,5.969
藤,0,t,20,87,0.074,5.969
落,0,l,12,84,0.071,5.970
琪,0,q,17,84,0.071,5.970
蝶,0,d,4,83,0.070,5.971
闹,0,n,14,83,0.070,5.971
有,0,y,25,83,0.070,5.971
等,0,d,4,81,0.069,5.971
发,0,f,6,80,0.068,5.972
昆,0,k,11,80,0.068,5.972
闾,0,l,12,79,0.067,5.972
传,0,z,26,78,0.066,5.972
拱,0,g,7,78,0.066,5.972
厚,0,h,8,77,0.065,5.973
日,0,r,18,77,0.065,5.973
遇,0,y,25,77,0.065,5.973
考,0,k,11,76,0.064,5.973
璩,0,q,17,76,0.064,5.973
为,0,w,23,76,0.064,5.973
剧,0,j,10,75,0.063,5.973
寒,0,h,8,74,0.063,5.974
昊,0,h,8,74,0.063,5.974
公孙,1,g,7,73,0.062,5.974
笛,0,d,4,72,0.061,5.974
是,0,s,19,72,0.061,5.974
益,0,y,25,72,0.061,5.974
还,0,h,8,71,0.060,5.975
瓮,0,w,23,71,0.060,5.975
淑,0,s,19,70,0.059,5.975
泰,0,t,20,70,0.059,5.975
孝,0,x,24,70,0.059,5.975
宜,0,y,25,69,0.058,5.975
茜,0,q,17,68,0.058,5.976
释,0,s,19,68,0.058,5.976
疏,0,s,19,68,0.058,5.976
丑,0,c,3,67,0.057,5.976
谷梁,1,g,7,67,0.057,5.976
降,0,j,10,67,0.057,5.976
彤,0,t,20,66,0.056,5.976
宰,0,z,26,66,0.056,5.976
潇,0,x,24,65,0.055,5.977
介,0,j,10,64,0.054,5.977
吾,0,w,23,64,0.054,5.977
摆,0,b,2,63,0.053,5.977
懂,0,d,4,63,0.053,5.977
岂,0,q,17,63,0.053,5.977
申屠,1,s,19,63,0.053,5.977
奕,0,y,25,63,0.053,5.977
槐,0,h,8,62,0.052,5.978
吁,0,y,25,62,0.052,5.978
学,0,x,24,62,0.052,5.978
秘,0,m,13,61,0.052,5.978
仙,0,x,24,61,0.052,5.978
骈,0,p,16,60,0.051,5.978
热,0,r,18,59,0.050,5.979
硕,0,s,19,59,0.050,5.979
婉,0,w,23,59,0.050,5.979
业,0,y,25,59,0.050,5.979
男,0,n,14,57,0.048,5.980
少,0,s,19,57,0.048,5.980
源,0,y,25,57,0.048,5.980
诚,0,c,3,56,0.047,5.980
佩,0,p,16,56,0.047,5.980
傲,0,a,1,55,0.047,5.980
辰,0,c,3,55,0.047,5.980
乃,0,n,14,55,0.047,5.980
拾,0,s,19,55,0.047,5.980
正,0,z,26,55,0.047,5.980
峰,0,f,6,54,0.046,5.981
合,0,h,8,54,0.046,5.981
健,0,j,10,54,0.046,5.981
提,0,t,20,54,0.046,5.981
锦,0,j,10,53,0.045,5.981
菜,0,c,3,52,0.044,5.981
灰,0,h,8,52,0.044,5.981
善,0,s,19,52,0.044,5.981
剡,0,s,19,52,0.044,5.981
句,0,j,10,51,0.043,5.982
玛,0,m,13,51,0.043,5.982
亓官,1,q,17,51,0.043,5.982
只,0,z,26,51,0.043,5.982
次,0,c,3,50,0.042,5.982
珂,0,k,11,50,0.042,5.982
麒,0,q,17,50,0.042,5.982
卧,0,w,23,50,0.042,5.982
鄞,0,y,25,50,0.042,5.982
产,0,c,3,49,0.041,5.982
点,0,d,4,49,0.041,5.982
辉,0,h,8,49,0.041,5.982
琦,0,q,17,49,0.041,5.982
炎,0,y,25,49,0.041,5.982
樱,0,y,25,49,0.041,5.982
端木,1,d,4,48,0.041,5.983
公祖,1,g,7,48,0.041,5.983
玖,0,j,10,48,0.041,5.983
傻,0,s,19,48,0.041,5.983
岁,0,s,19,48,0.041,5.983
翦,0,j,10,47,0.040,5.983
立,0,l,12,47,0.040,5.983
他,0,t,20,47,0.040,5.983
药,0,y,25,47,0.040,5.983
野,0,y,25,47,0.040,5.983
裔,0,y,25,47,0.040,5.983
贠,0,y,25,47,0.040,5.983
桥,0,q,17,46,0.039,5.983
的,0,d,4,45,0.038,5.984
含,0,h,8,45,0.038,5.984
南宫,1,n,14,45,0.038,5.984
侬,0,n,14,45,0.038,5.984
淘,0,t,20,45,0.038,5.984
钊,0,z,26,45,0.038,5.984
鸿,0,h,8,44,0.037,5.984
呈,0,c,3,43,0.036,5.984
科,0,k,11,43,0.036,5.984
梨,0,l,12,43,0.036,5.984
淼,0,m,13,43,0.036,5.984
妙,0,m,13,43,0.036,5.984
世,0,s,19,43,0.036,5.984
羽,0,y,25,43,0.036,5.984
犹,0,y,25,42,0.036,5.985
油,0,y,25,42,0.036,5.985
掌,0,z,26,42,0.036,5.985
缴,0,z,26,41,0.035,5.985
教,0,j,10,41,0.035,5.985
羌,0,q,17,41,0.035,5.985
若,0,r,18,41,0.035,5.985
环,0,h,8,40,0.034,5.986
潜,0,q,17,40,0.034,5.986
脱,0,t,20,40,0.034,5.986
糟,0,z,26,40,0.034,5.986
把,0,b,2,39,0.033,5.986
百,0,b,2,39,0.033,5.986
具,0,j,10,39,0.033,5.986
添,0,t,20,39,0.033,5.986
绪,0,x,24,39,0.033,5.986
重,0,z,26,39,0.033,5.986
粘,0,z,26,38,0.032,5.986
婵,0,c,3,37,0.031,5.987
薇,0,w,23,37,0.031,5.987
溪,0,x,24,37,0.031,5.987
蔓,0,m,13,36,0.030,5.987
润,0,r,18,36,0.030,5.987
汶,0,w,23,36,0.030,5.987
珍,0,z,26,36,0.030,5.987
财,0,c,3,35,0.030,5.987
晃,0,h,8,35,0.030,5.987
录,0,l,12,35,0.030,5.987
芒,0,m,13,35,0.030,5.987
耀,0,y,25,35,0.030,5.987
早,0,z,26,35,0.030,5.987
不,0,b,2,34,0.029,5.988
婧,0,j,10,34,0.029,5.988
默,0,m,13,34,0.029,5.988
绒,0,r,18,34,0.029,5.988
楮,0,c,3,33,0.028,5.988
奂,0,h,8,33,0.028,5.988
津,0,j,10,33,0.028,5.988
亲,0,q,17,33,0.028,5.988
样,0,y,25,33,0.028,5.988
优,0,y,25,33,0.028,5.988
哲,0,z,26,33,0.028,5.988
独,0,d,4,32,0.027,5.988
节,0,j,10,32,0.027,5.988
铃,0,l,12,32,0.027,5.988
俏,0,q,17,32,0.027,5.988
莘,0,s,19,32,0.027,5.988
妍,0,y,25,32,0.027,5.988
怡,0,y,25,32,0.027,5.988
赢,0,y,25,32,0.027,5.988
邾,0,z,26,32,0.027,5.988
当,0,d,4,31,0.026,5.989
酒,0,j,10,31,0.026,5.989
绿,0,l,12,31,0.026,5.989
妈,0,m,13,31,0.026,5.989
们,0,m,13,31,0.026,5.989
能,0,n,14,31,0.026,5.989
杉,0,s,19,31,0.026,5.989
厍,0,s,19,31,0.026,5.989
巫马,1,w,23,31,0.026,5.989
彪,0,b,2,30,0.025,5.989
佴,0,e,5,30,0.025,5.989
公伯,1,g,7,30,0.025,5.989
朦,0,m,13,30,0.025,5.989
图,0,t,20,30,0.025,5.989
友,0,y,25,30,0.025,5.989
芸,0,y,25,30,0.025,5.989
允,0,y,25,30,0.025,5.989
层,0,c,3,29,0.025,5.989
尔,0,e,5,29,0.025,5.989
公西,1,g,7,29,0.025,5.989
坚,0,j,10,29,0.025,5.989
礼,0,l,12,29,0.025,5.989
士,0,s,19,29,0.025,5.989
灯,0,d,4,28,0.024,5.990
逗,0,d,4,28,0.024,5.990
俄,0,e,5,28,0.024,5.990
浮,0,f,6,28,0.024,5.990
南门,1,n,14,28,0.024,5.990
勤,0,q,17,28,0.024,5.990
威,0,w,23,28,0.024,5.990
钏,0,c,3,27,0.023,5.990
府,0,f,6,27,0.023,5.990
革,0,g,7,27,0.023,5.990
息,0,x,24,27,0.023,5.990
尘,0,c,3,26,0.022,5.991
葱,0,c,3,26,0.022,5.991
呆,0,d,4,26,0.022,5.991
蜂,0,f,6,26,0.022,5.991
警,0,j,10,26,0.022,5.991
隽,0,j,10,26,0.022,5.991
郐,0,k,11,26,0.022,5.991
蜜,0,m,13,26,0.022,5.991
邳,0,p,16,26,0.022,5.991
散,0,s,19,26,0.022,5.991
霜,0,s,19,26,0.022,5.991
弦,0,x,24,26,0.022,5.991
锋,0,f,6,25,0.021,5.991
扣,0,k,11,25,0.021,5.991
联,0,l,12,25,0.021,5.991
庭,0,t,20,25,0.021,5.991
璇,0,x,24,25,0.021,5.991
蚁,0,y,25,25,0.021,5.991
采,0,c,3,24,0.020,5.991
公仲,1,g,7,24,0.020,5.991
融,0,r,18,24,0.020,5.991
长孙,1,z,26,24,0.020,5.991
踪,0,z,26,24,0.020,5.991
潮,0,c,3,23,0.019,5.992
菁,0,j,10,23,0.019,5.992
芈,0,m,13,23,0.019,5.992
名,0,m,13,23,0.019,5.992
诗,0,s,19,23,0.019,5.992
攸,0,y,25,23,0.019,5.992
在,0,z,26,23,0.019,5.992
河,0,h,8,22,0.019,5.992
俱,0,j,10,22,0.019,5.992
淋,0,l,12,22,0.019,5.992
翩,0,p,16,22,0.019,5.992
伞,0,s,19,22,0.019,5.992
我,0,w,23,22,0.019,5.992
芽,0,y,25,22,0.019,5.992
本,0,b,2,21,0.018,5.992
定,0,d,4,21,0.018,5.992
记,0,j,10,21,0.018,5.992
奎,0,k,11,21,0.018,5.992
柒,0,q,17,21,0.018,5.992
舍,0,s,19,21,0.018,5.992
所,0,s,19,21,0.018,5.992
桐,0,t,20,21,0.018,5.992
尉迟,1,y,25,21,0.018,5.992
轩辕,1,x,24,21,0.018,5.992
烟,0,y,25,21,0.018,5.992
宴,0,y,25,21,0.018,5.992
钟离,1,z,26,21,0.018,5.992
逢,0,f,6,20,0.017,5.993
个,0,g,7,20,0.017,5.993
茉,0,m,13,20,0.017,5.993
你,0,n,14,20,0.017,5.993
特,0,t,20,20,0.017,5.993
务,0,w,23,20,0.017,5.993
线,0,x,24,20,0.017,5.993
昕,0,x,24,20,0.017,5.993
沿,0,y,25,20,0.017,5.993
治,0,z,26,20,0.017,5.993
催,0,c,3,19,0.016,5.993
得,0,d,4,19,0.016,5.993
喊,0,h,8,19,0.016,5.993
梁丘,1,l,12,19,0.016,5.993
枚,0,m,13,19,0.016,5.993
勉,0,m,13,19,0.016,5.993
孬,0,n,14,19,0.016,5.993
暖,0,n,14,19,0.016,5.993
琼,0,q,17,19,0.016,5.993
求,0,q,17,19,0.016,5.993
睿,0,r,18,19,0.016,5.993
飒,0,s,19,19,0.016,5.993
土,0,t,20,19,0.016,5.993
团,0,t,20,19,0.016,5.993
馨,0,x,24,19,0.016,5.993
航,0,h,8,18,0.015,5.993
淮,0,h,8,18,0.015,5.993
会,0,h,8,18,0.015,5.993
桔,0,j,10,18,0.015,5.993
勒,0,l,12,18,0.015,5.993
球,0,q,17,18,0.015,5.993
泉,0,q,17,18,0.015,5.993
葸,0,x,24,18,0.015,5.993
孛,0,b,2,17,0.014,5.994
甫,0,f,6,17,0.014,5.994
暨,0,j,10,17,0.014,5.994
竭,0,j,10,17,0.014,5.994
良,0,l,12,17,0.014,5.994
苹,0,p,16,17,0.014,5.994
哇,0,w,23,17,0.014,5.994
夷,0,y,25,17,0.014,5.994
悠,0,y,25,17,0.014,5.994
舟,0,z,26,17,0.014,5.994
猜,0,c,3,16,0.014,5.994
皓,0,h,8,16,0.014,5.994
角,0,j,10,16,0.014,5.994
迷,0,m,13,16,0.014,5.994
庙,0,m,13,16,0.014,5.994
跑,0,p,16,16,0.014,5.994
芊,0,q,17,16,0.014,5.994
匙,0,s,19,16,0.014,5.994
殳,0,s,19,16,0.014,5.994
乡,0,x,24,16,0.014,5.994
享,0,x,24,16,0.014,5.994
兆,0,z,26,16,0.014,5.994
忠,0,z,26,16,0.014,5.994
打,0,d,4,15,0.013,5.995
典,0,d,4,15,0.013,5.995
番,0,f,6,15,0.013,5.995
庚,0,g,7,15,0.013,5.995
瑚,0,h,8,15,0.013,5.995
鉴,0,j,10,15,0.013,5.995
款,0,k,11,15,0.013,5.995
堂,0,t,20,15,0.013,5.995
想,0,x,24,15,0.013,5.995
卑,0,b,2,14,0.012,5.995
啜,0,c,3,14,0.012,5.995
第五,1,d,4,14,0.012,5.995
佃,0,d,4,14,0.012,5.995
净,0,j,10,14,0.012,5.995
跳,0,t,20,14,0.012,5.995
秧,0,y,25,14,0.012,5.995
映,0,y,25,14,0.012,5.995
转,0,z,26,14,0.012,5.995
梓,0,z,26,14,0.012,5.995
禅,0,c,3,13,0.011,5.995
城,0,c,3,13,0.011,5.995
纯,0,c,3,13,0.011,5.995
阁,0,g,7,13,0.011,5.995
公良,1,g,7,13,0.011,5.995
罕,0,h,8,13,0.011,5.995
洁,0,j,10,13,0.011,5.995
猫,0,m,13,13,0.011,5.995
没,0,m,13,13,0.011,5.995
攀,0,p,16,13,0.011,5.995
棋,0,q,17,13,0.011,5.995
前,0,q,17,13,0.011,5.995
群,0,q,17,13,0.011,5.995
郤,0,x,24,13,0.011,5.995
意,0,y,25,13,0.011,5.995
音,0,y,25,13,0.011,5.995
称,0,c,3,12,0.010,5.996
赤,0,c,3,12,0.010,5.996
钭,0,t,20,12,0.010,5.996
弘,0,h,8,12,0.010,5.996
夹,0,j,10,12,0.010,5.996
见,0,j,10,12,0.010,5.996
剑,0,j,10,12,0.010,5.996
聚,0,j,10,12,0.010,5.996
流,0,l,12,12,0.010,5.996
闰,0,r,18,12,0.010,5.996
绍,0,s,19,12,0.010,5.996
烁,0,s,19,12,0.010,5.996
司空,1,s,19,12,0.010,5.996
姓,0,x,24,12,0.010,5.996
顼,0,x,24,12,0.010,5.996
腰,0,y,25,12,0.010,5.996
迮,0,z,26,12,0.010,5.996
仲孙,1,z,26,12,0.010,5.996
叮,0,d,4,11,0.009,5.996
东里,1,d,4,11,0.009,5.996
各,0,g,7,11,0.009,5.996
蝴,0,h,8,11,0.009,5.996
活,0,h,8,11,0.009,5.996
皎,0,j,10,11,0.009,5.996
客,0,k,11,11,0.009,5.996
困,0,k,11,11,0.009,5.996
莽,0,m,13,11,0.009,5.996
省,0,s,19,11,0.009,5.996
艺,0,y,25,11,0.009,5.996
昃,0,z,26,11,0.009,5.996
阵,0,z,26,11,0.009,5.996
策,0,c,3,10,0.008,5.996
第,0,d,4,10,0.008,5.996
冠,0,g,7,10,0.008,5.996
撖,0,h,8,10,0.008,5.996
荚,0,j,10,10,0.008,5.996
渐,0,j,10,10,0.008,5.996
卷,0,j,10,10,0.008,5.996
貌,0,m,13,10,0.008,5.996
铭,0,m,13,10,0.008,5.996
澎,0,p,16,10,0.008,5.996
钤,0,q,17,10,0.008,5.996
樵,0,q,17,10,0.008,5.996
燃,0,r,18,10,0.008,5.996
赏,0,s,19,10,0.008,5.996
板,0,b,2,9,0.008,5.997
犇,0,b,2,9,0.008,5.997
标,0,b,2,9,0.008,5.997
褚师,1,c,3,9,0.008,5.997
创,0,c,3,9,0.008,5.997
翠,0,c,3,9,0.008,5.997
鬲,0,g,7,9,0.008,5.997
涵,0,h,8,9,0.008,5.997
骞,0,q,17,9,0.008,5.997
峻,0,j,10,9,0.008,5.997
抗,0,k,11,9,0.008,5.997
阔,0,k,11,9,0.008,5.997
荔,0,l,12,9,0.008,5.997
寥,0,l,12,9,0.008,5.997
书,0,s,19,9,0.008,5.997
晚,0,w,23,9,0.008,5.997
羡,0,x,24,9,0.008,5.997
旋,0,x,24,9,0.008,5.997
钰,0,y,25,9,0.008,5.997
柘,0,z,26,9,0.008,5.997
颛,0,z,26,9,0.008,5.997
碧,0,b,2,8,0.007,5.997
闯,0,c,3,8,0.007,5.997
奋,0,f,6,8,0.007,5.997
公山,1,g,7,8,0.007,5.997
翰,0,h,8,8,0.007,5.997
荷,0,h,8,8,0.007,5.997
鸡,0,j,10,8,0.007,5.997
瑾,0,j,10,8,0.007,5.997
就,0,j,10,8,0.007,5.997
稂,0,l,12,8,0.007,5.997
靓,0,l,12,8,0.007,5.997
帕,0,p,16,8,0.007,5.997
盆,0,p,16,8,0.007,5.997
柔,0,r,18,8,0.007,5.997
术,0,s,19,8,0.007,5.997
死,0,s,19,8,0.007,5.997
镡,0,c,3,8,0.007,5.997
题,0,t,20,8,0.007,5.997
焱,0,y,25,8,0.007,5.997
夜,0,y,25,8,0.007,5.997
莺,0,y,25,8,0.007,5.997
誉,0,y,25,8,0.007,5.997
缘,0,y,25,8,0.007,5.997
韵,0,y,25,8,0.007,5.997
芷,0,z,26,8,0.007,5.997
左丘,1,z,26,8,0.007,5.997
霸,0,b,2,7,0.006,5.997
表,0,b,2,7,0.006,5.997
琛,0,c,3,7,0.006,5.997
炊,0,c,3,7,0.006,5.997
答,0,d,4,7,0.006,5.997
澹,0,d,4,7,0.006,5.997
佛,0,f,6,7,0.006,5.997
罡,0,g,7,7,0.006,5.997
雎,0,j,10,7,0.006,5.997
空,0,k,11,7,0.006,5.997
啦,0,l,12,7,0.006,5.997
辽,0,l,12,7,0.006,5.997
霖,0,l,12,7,0.006,5.997
率,0,s,19,7,0.006,5.997
钳,0,q,17,7,0.006,5.997
雀,0,q,17,7,0.006,5.997
速,0,s,19,7,0.006,5.997
滔,0,t,20,7,0.006,5.997
维,0,w,23,7,0.006,5.997
梧,0,w,23,7,0.006,5.997
西门,1,x,24,7,0.006,5.997
湘,0,x,24,7,0.006,5.997
宵,0,x,24,7,0.006,5.997
效,0,x,24,7,0.006,5.997
萱,0,x,24,7,0.006,5.997
娅,0,y,25,7,0.006,5.997
颖,0,y,25,7,0.006,5.997
则,0,z,26,7,0.006,5.997
政,0,z,26,7,0.006,5.997
直,0,z,26,7,0.006,5.997
丙,0,b,2,6,0.005,5.998
臭,0,c,3,6,0.005,5.998
疯,0,f,6,6,0.005,5.998
伽,0,j,10,6,0.005,5.998
公羊,1,g,7,6,0.005,5.998
乖,0,g,7,6,0.005,5.998
画,0,h,8,6,0.005,5.998
几,0,j,10,6,0.005,5.998
剌,0,l,12,6,0.005,5.998
了,0,l,12,6,0.005,5.998
论,0,l,12,6,0.005,5.998
溥,0,p,16,6,0.005,5.998
岐,0,q,17,6,0.005,5.998
乞,0,q,17,6,0.005,5.998
谦,0,q,17,6,0.005,5.998
蘧,0,q,17,6,0.005,5.998
人,0,r,18,6,0.005,5.998
肜,0,r,18,6,0.005,5.998
上,0,s,19,6,0.005,5.998
守,0,s,19,6,0.005,5.998
说,0,s,19,6,0.005,5.998
瓦,0,w,23,6,0.005,5.998
兀,0,w,23,6,0.005,5.998
曦,0,x,24,6,0.005,5.998
县,0,x,24,6,0.005,5.998
筱,0,x,24,6,0.005,5.998
芯,0,x,24,6,0.005,5.998
耶,0,y,25,6,0.005,5.998
移,0,y,25,6,0.005,5.998
以,0,y,25,6,0.005,5.998
毅,0,y,25,6,0.005,5.998
再,0,z,26,6,0.005,5.998
子书,1,z,26,6,0.005,5.998
霭,0,a,1,5,0.004,5.998
炳,0,b,2,5,0.004,5.998
草,0,c,3,5,0.004,5.998
测,0,c,3,5,0.004,5.998
茌,0,c,3,5,0.004,5.998
存,0,c,3,5,0.004,5.998
岛,0,d,4,5,0.004,5.998
斐,0,f,6,5,0.004,5.998
枫,0,f,6,5,0.004,5.998
敢,0,g,7,5,0.004,5.998
岗,0,g,7,5,0.004,5.998
工,0,g,7,5,0.004,5.998
公冶,1,g,7,5,0.004,5.998
猴,0,h,8,5,0.004,5.998
集,0,j,10,5,0.004,5.998
蒉,0,k,11,5,0.004,5.998
疗,0,l,12,5,0.004,5.998
玫,0,m,13,5,0.004,5.998
泡,0,p,16,5,0.004,5.998
漆雕,1,q,17,5,0.004,5.998
浅,0,q,17,5,0.004,5.998
叔,0,s,19,5,0.004,5.998
恬,0,t,20,5,0.004,5.998
夕,0,x,24,5,0.004,5.998
熙,0,x,24,5,0.004,5.998
霞,0,x,24,5,0.004,5.998
杏,0,x,24,5,0.004,5.998
养,0,y,25,5,0.004,5.998
